naslov,ESRB_deskriptor
The Elder Scrolls V: Skyrim,Blood
The Elder Scrolls V: Skyrim,Blood and Gore
The Elder Scrolls V: Skyrim,Intense Violence
The Elder Scrolls V: Skyrim,Sexual Themes
The Elder Scrolls V: Skyrim,Use of Alcohol
The Elder Scrolls V: Skyrim,Violence
BioShock Infinite,Blood
BioShock Infinite,Blood and Gore
BioShock Infinite,Intense Violence
BioShock Infinite,Language
BioShock Infinite,Sexual Themes
BioShock Infinite,Use of Alcohol
BioShock Infinite,Violence
Final Fantasy IX,Language
Final Fantasy IX,Violence
Call of Duty: Modern Warfare 2,Blood
Call of Duty: Modern Warfare 2,Drug Reference
Call of Duty: Modern Warfare 2,Intense Violence
Call of Duty: Modern Warfare 2,Language
Call of Duty: Modern Warfare 2,Violence
Tony Hawk's Pro Skater 4,Blood
Tony Hawk's Pro Skater 4,Comic Mischief
Tony Hawk's Pro Skater 4,Lyrics
Tony Hawk's Pro Skater 4,Suggestive Themes
Devil May Cry,Blood
Devil May Cry,Violence
Call of Duty 4: Modern Warfare,Blood
Call of Duty 4: Modern Warfare,Blood and Gore
Call of Duty 4: Modern Warfare,Intense Violence
Call of Duty 4: Modern Warfare,Language
Call of Duty 4: Modern Warfare,Strong Language
Call of Duty 4: Modern Warfare,Violence
Batman: Arkham City,Alcohol Reference
Batman: Arkham City,Blood
Batman: Arkham City,Language
Batman: Arkham City,Suggestive Themes
Batman: Arkham City,Use of Tobacco
Batman: Arkham City,Violence
Mass Effect 2,Blood
Mass Effect 2,Drug Reference
Mass Effect 2,Language
Mass Effect 2,Sexual Content
Mass Effect 2,Strong Language
Mass Effect 2,Violence
The Legend of Zelda: Ocarina of Time 3D,Animated Blood
The Legend of Zelda: Ocarina of Time 3D,Blood
The Legend of Zelda: Ocarina of Time 3D,Fantasy Violence
The Legend of Zelda: Ocarina of Time 3D,Suggestive Themes
The Legend of Zelda: Ocarina of Time 3D,Violence
Chrono Cross,Language
Chrono Cross,Violence
BioShock,Blood
BioShock,Blood and Gore
BioShock,Drug Reference
BioShock,Intense Violence
BioShock,Language
BioShock,Sexual Themes
BioShock,Strong Language
BioShock,Violence
Mass Effect 2,Blood
Mass Effect 2,Drug Reference
Mass Effect 2,Language
Mass Effect 2,Sexual Content
Mass Effect 2,Strong Language
Mass Effect 2,Violence
Grand Theft Auto: Vice City,Blood
Grand Theft Auto: Vice City,Blood and Gore
Grand Theft Auto: Vice City,Language
Grand Theft Auto: Vice City,Sexual Content
Grand Theft Auto: Vice City,Strong Language
Grand Theft Auto: Vice City,Strong Sexual Content
Grand Theft Auto: Vice City,Violence
Gears of War,Blood
Gears of War,Blood and Gore
Gears of War,Intense Violence
Gears of War,Language
Gears of War,Strong Language
Gears of War,Violence
The Elder Scrolls IV: Oblivion,Blood
The Elder Scrolls IV: Oblivion,Blood and Gore
The Elder Scrolls IV: Oblivion,Language
The Elder Scrolls IV: Oblivion,Sexual Themes
The Elder Scrolls IV: Oblivion,Use of Alcohol
The Elder Scrolls IV: Oblivion,Violence
Sid Meier's Civilization II,Violence
Quake,Animated Blood
Quake,Blood
Quake,Blood and Gore
Quake,Violence
Call of Duty 4: Modern Warfare,Blood
Call of Duty 4: Modern Warfare,Blood and Gore
Call of Duty 4: Modern Warfare,Intense Violence
Call of Duty 4: Modern Warfare,Language
Call of Duty 4: Modern Warfare,Strong Language
Call of Duty 4: Modern Warfare,Violence
BioShock Infinite,Blood
BioShock Infinite,Blood and Gore
BioShock Infinite,Intense Violence
BioShock Infinite,Language
BioShock Infinite,Sexual Themes
BioShock Infinite,Use of Alcohol
BioShock Infinite,Violence
Halo 3,Blood
Halo 3,Blood and Gore
Halo 3,Language
Halo 3,Violence
Ninja Gaiden Black,Blood
Ninja Gaiden Black,Blood and Gore
Ninja Gaiden Black,Intense Violence
Ninja Gaiden Black,Violence
The Elder Scrolls IV: Oblivion,Blood
The Elder Scrolls IV: Oblivion,Blood and Gore
The Elder Scrolls IV: Oblivion,Language
The Elder Scrolls IV: Oblivion,Nudity
The Elder Scrolls IV: Oblivion,Sexual Themes
The Elder Scrolls IV: Oblivion,Use of Alcohol
The Elder Scrolls IV: Oblivion,Violence
Street Fighter IV,Alcohol Reference
Street Fighter IV,Suggestive Themes
Street Fighter IV,Violence
Jet Grind Radio,Language
Jet Grind Radio,Violence
Metal Gear Solid,Animated Blood
Metal Gear Solid,Blood
Metal Gear Solid,Blood and Gore
Metal Gear Solid,Sexual Themes
Metal Gear Solid,Violence
Grim Fandango,Suggestive Themes
Grim Fandango,Use of Alcohol
Grim Fandango,Violence
Tom Clancy's Splinter Cell Chaos Theory,Blood
Tom Clancy's Splinter Cell Chaos Theory,Language
Tom Clancy's Splinter Cell Chaos Theory,Strong Language
Tom Clancy's Splinter Cell Chaos Theory,Violence
Burnout 3: Takedown,Language
Burnout 3: Takedown,Mild Violence
Burnout 3: Takedown,Violence
Diablo,Animated Blood
Diablo,Blood
Diablo,Blood and Gore
Diablo,Violence
Metal Gear Solid 3: Subsistence,Blood
Metal Gear Solid 3: Subsistence,Blood and Gore
Metal Gear Solid 3: Subsistence,Intense Violence
Metal Gear Solid 3: Subsistence,Language
Metal Gear Solid 3: Subsistence,Sexual Themes
Metal Gear Solid 3: Subsistence,Violence
Call of Duty: Modern Warfare 2,Blood
Call of Duty: Modern Warfare 2,Drug Reference
Call of Duty: Modern Warfare 2,Intense Violence
Call of Duty: Modern Warfare 2,Language
Call of Duty: Modern Warfare 2,Violence
Metal Gear Solid 4: Guns of the Patriots,Blood
Metal Gear Solid 4: Guns of the Patriots,Crude Humor
Metal Gear Solid 4: Guns of the Patriots,Language
Metal Gear Solid 4: Guns of the Patriots,Strong Language
Metal Gear Solid 4: Guns of the Patriots,Suggestive Themes
Metal Gear Solid 4: Guns of the Patriots,Violence
God of War,Blood
God of War,Blood and Gore
God of War,Intense Violence
God of War,Language
God of War,Nudity
God of War,Sexual Themes
God of War,Strong Language
God of War,Suggestive Themes
God of War,Violence
Star Wars: Knights of the Old Republic,Violence
Sid Meier's Civilization IV,Violence
Virtua Fighter 4,Violence
Burnout 3: Takedown,Language
Burnout 3: Takedown,Mild Violence
Burnout 3: Takedown,Violence
Super Smash Bros. Brawl,Crude Humor
Super Smash Bros. Brawl,Violence
Company of Heroes,Blood
Company of Heroes,Blood and Gore
Company of Heroes,Intense Violence
Company of Heroes,Language
Company of Heroes,Strong Language
Company of Heroes,Violence
Tom Clancy's Splinter Cell Pandora Tomorrow,Blood
Tom Clancy's Splinter Cell Pandora Tomorrow,Drug Reference
Tom Clancy's Splinter Cell Pandora Tomorrow,Violence
Grand Theft Auto: Chinatown Wars,Blood
Grand Theft Auto: Chinatown Wars,Blood and Gore
Grand Theft Auto: Chinatown Wars,Drug Reference
Grand Theft Auto: Chinatown Wars,Language
Grand Theft Auto: Chinatown Wars,Sexual Content
Grand Theft Auto: Chinatown Wars,Strong Language
Grand Theft Auto: Chinatown Wars,Strong Sexual Content
Grand Theft Auto: Chinatown Wars,Violence
Street Fighter Alpha 3,Violence
Tony Hawk's Pro Skater 3,Blood
Tony Hawk's Pro Skater 3,Lyrics
Tony Hawk's Pro Skater 3,Suggestive Themes
Unreal Tournament 2004,Blood
Unreal Tournament 2004,Blood and Gore
Unreal Tournament 2004,Intense Violence
Unreal Tournament 2004,Language
Unreal Tournament 2004,Violence
BioShock Infinite,Blood
BioShock Infinite,Blood and Gore
BioShock Infinite,Intense Violence
BioShock Infinite,Language
BioShock Infinite,Sexual Themes
BioShock Infinite,Use of Alcohol
BioShock Infinite,Violence
Braid,Language
Braid,Violence
God of War II,Blood
God of War II,Blood and Gore
God of War II,Intense Violence
God of War II,Language
God of War II,Nudity
God of War II,Sexual Themes
God of War II,Strong Language
God of War II,Violence
Starcraft II: Wings of Liberty,Blood
Starcraft II: Wings of Liberty,Blood and Gore
Starcraft II: Wings of Liberty,Language
Starcraft II: Wings of Liberty,Suggestive Themes
Starcraft II: Wings of Liberty,Use of Alcohol
Starcraft II: Wings of Liberty,Violence
Street Fighter IV,Alcohol Reference
Street Fighter IV,Suggestive Themes
Street Fighter IV,Violence
Persona 4 Golden,Alcohol Reference
Persona 4 Golden,Animated Blood
Persona 4 Golden,Blood
Persona 4 Golden,Language
Persona 4 Golden,Nudity
Persona 4 Golden,Partial Nudity
Persona 4 Golden,Sexual Themes
Persona 4 Golden,Violence
SSX 3,Comic Mischief
SSX 3,Mild Violence
SSX 3,Violence
Tom Clancy's Splinter Cell,Blood
Tom Clancy's Splinter Cell,Blood and Gore
Tom Clancy's Splinter Cell,Violence
Grand Theft Auto III,Blood
Grand Theft Auto III,Language
Grand Theft Auto III,Strong Language
Grand Theft Auto III,Violence
Quake III Arena,Animated Blood
Quake III Arena,Blood
Quake III Arena,Blood and Gore
Quake III Arena,Violence
Homeworld,Violence
Okami,Blood
Okami,Blood and Gore
Okami,Crude Humor
Okami,Fantasy Violence
Okami,Suggestive Themes
Okami,Use of Alcohol
Okami,Violence
The Elder Scrolls IV: Oblivion,Blood
The Elder Scrolls IV: Oblivion,Blood and Gore
The Elder Scrolls IV: Oblivion,Language
The Elder Scrolls IV: Oblivion,Sexual Themes
The Elder Scrolls IV: Oblivion,Use of Alcohol
The Elder Scrolls IV: Oblivion,Violence
Fallout 3,Blood
Fallout 3,Blood and Gore
Fallout 3,Intense Violence
Fallout 3,Language
Fallout 3,Sexual Themes
Fallout 3,Strong Language
Fallout 3,Use of Drugs
Fallout 3,Violence
Gears of War 2,Blood
Gears of War 2,Blood and Gore
Gears of War 2,Intense Violence
Gears of War 2,Language
Gears of War 2,Strong Language
Gears of War 2,Violence
SoulCalibur II,Suggestive Themes
SoulCalibur II,Violence
Mass Effect 3,Blood
Mass Effect 3,Language
Mass Effect 3,Nudity
Mass Effect 3,Partial Nudity
Mass Effect 3,Sexual Content
Mass Effect 3,Strong Language
Mass Effect 3,Violence
Skies of Arcadia,Suggestive Themes
Skies of Arcadia,Violence
The Legend of Zelda: Skyward Sword,Animated Blood
The Legend of Zelda: Skyward Sword,Blood
The Legend of Zelda: Skyward Sword,Comic Mischief
The Legend of Zelda: Skyward Sword,Fantasy Violence
The Legend of Zelda: Skyward Sword,Violence
Rock Band 3,Lyrics
Rock Band 3,Suggestive Themes
Rock Band 3,Use of Alcohol
Viewtiful Joe,Suggestive Themes
Viewtiful Joe,Violence
Castlevania: Symphony of the Night,Animated Blood
Castlevania: Symphony of the Night,Blood
Castlevania: Symphony of the Night,Blood and Gore
Castlevania: Symphony of the Night,Violence
Star Wars: Knights of the Old Republic,Violence
Virtua Fighter 4: Evolution,Suggestive Themes
Virtua Fighter 4: Evolution,Violence
Braid,Language
Braid,Violence
Mass Effect 3,Blood
Mass Effect 3,Language
Mass Effect 3,Nudity
Mass Effect 3,Partial Nudity
Mass Effect 3,Sexual Content
Mass Effect 3,Strong Language
Mass Effect 3,Violence
Paper Mario,Comic Mischief
Wipeout XL,Violence
Grand Theft Auto: San Andreas,Blood
Grand Theft Auto: San Andreas,Blood and Gore
Grand Theft Auto: San Andreas,Intense Violence
Grand Theft Auto: San Andreas,Language
Grand Theft Auto: San Andreas,Nudity
Grand Theft Auto: San Andreas,Sexual Content
Grand Theft Auto: San Andreas,Strong Language
Grand Theft Auto: San Andreas,Strong Sexual Content
Grand Theft Auto: San Andreas,Use of Drugs
Grand Theft Auto: San Andreas,Violence
World of Warcraft,Blood
World of Warcraft,Suggestive Themes
World of Warcraft,Use of Alcohol
World of Warcraft,Violence
Grand Theft Auto: San Andreas,Blood
Grand Theft Auto: San Andreas,Blood and Gore
Grand Theft Auto: San Andreas,Intense Violence
Grand Theft Auto: San Andreas,Language
Grand Theft Auto: San Andreas,Nudity
Grand Theft Auto: San Andreas,Sexual Content
Grand Theft Auto: San Andreas,Strong Language
Grand Theft Auto: San Andreas,Strong Sexual Content
Grand Theft Auto: San Andreas,Use of Drugs
Grand Theft Auto: San Andreas,Violence
SoulCalibur II,Suggestive Themes
SoulCalibur II,Violence
The Elder Scrolls V: Skyrim,Blood
The Elder Scrolls V: Skyrim,Blood and Gore
The Elder Scrolls V: Skyrim,Intense Violence
The Elder Scrolls V: Skyrim,Sexual Themes
The Elder Scrolls V: Skyrim,Use of Alcohol
The Elder Scrolls V: Skyrim,Violence
Prince of Persia: The Sands of Time,Blood
Prince of Persia: The Sands of Time,Suggestive Themes
Prince of Persia: The Sands of Time,Violence
Call of Duty 4: Modern Warfare,Blood
Call of Duty 4: Modern Warfare,Blood and Gore
Call of Duty 4: Modern Warfare,Intense Violence
Call of Duty 4: Modern Warfare,Language
Call of Duty 4: Modern Warfare,Strong Language
Call of Duty 4: Modern Warfare,Violence
God of War III,Blood
God of War III,Blood and Gore
God of War III,Intense Violence
God of War III,Language
God of War III,Nudity
God of War III,Sexual Content
