naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
Final Fantasy IX,2000-11-13,94,22,9.0,1280,T,SquareSoft,,1 Player
Call of Duty: Modern Warfare 2,2009-11-10,94,67,6.6,2362,M,Infinity Ward,Up to 18 Players,
God of War,2018-04-20,94,118,9.2,16299,M,SCE Santa Monica,No Online Multiplayer,
Tony Hawk's Pro Skater 4,2002-10-23,94,27,8.4,182,T,Neversoft Entertainment,,1-8 Players
Devil May Cry,2001-10-16,94,37,8.6,791,M,Capcom,,1 Player
Call of Duty 4: Modern Warfare,2007-11-05,94,44,8.4,1170,M,Infinity Ward,,1-4 Players
Madden NFL 2002,2001-08-19,94,23,7.3,49,E,EA Sports,,1-8 Players
Batman: Arkham City,2011-10-18,94,87,8.7,1682,T,Rocksteady Studios,No Online Multiplayer,
Mass Effect 2,2010-01-26,94,55,8.9,4972,M,BioWare,No Online Multiplayer,
The Legend of Zelda: Ocarina of Time 3D,2011-06-19,94,85,9.0,1626,E10+,GREZZO,No Online Multiplayer,1 Player
Chrono Cross,2000-08-15,94,16,8.8,412,T,SquareSoft,,1 Player
Celeste,2018-01-26,94,10,7.1,268,E10+,Matt Makes Games Inc.,No Online Multiplayer,
BioShock,2008-10-21,94,51,8.8,1136,M,"Digital Extremes, 2K Marin",,1 Player
Mass Effect 2,2011-01-17,94,62,8.6,1243,M,BioWare,No Online Multiplayer,
Grand Theft Auto: Vice City,2003-05-12,94,30,8.8,2435,M,Rockstar North,,1 Player
Madden NFL 2004,2003-08-12,94,29,8.2,147,E,EA Tiburon,,1-8 Players
Gears of War,2006-11-07,94,88,8.3,2653,M,Epic Games,8 Players Online,1-2 Players
The Elder Scrolls IV: Oblivion,2006-03-20,94,90,8.7,1257,M,Bethesda Softworks,,1 Player
Sid Meier's Civilization II,1996-02-29,94,7,8.8,450,K-A,MPS Labs,,1 Player
Quake,1996-06-22,94,9,8.8,813,M,id Software,,1-16 Players
Call of Duty 4: Modern Warfare,2007-11-05,94,70,8.5,1467,M,Infinity Ward,,1-4 Players
BioShock Infinite,2013-03-25,94,68,8.6,8729,M,Irrational Games,No Online Multiplayer,
Halo 3,2007-09-25,94,86,8.0,4729,M,"Bungie Software, Bungie",,1-4 Players
Ninja Gaiden Black,2005-09-20,94,32,8.8,177,M,Team Ninja,,1 Player
The Elder Scrolls IV: Oblivion,2006-03-20,94,54,8.1,3069,M,Bethesda Softworks,,1 Player
Street Fighter IV,2009-02-17,94,61,7.4,391,T,Capcom,2 Players 2 Players Online,1-2 Players
Super Mario Advance 4: Super Mario Bros. 3,2003-10-21,94,25,8.9,203,E,Nintendo,,1-4 Players
Jet Grind Radio,2000-10-30,94,24,8.1,89,T,Smilebit,,
Metal Gear Solid,1998-10-21,94,20,9.2,1584,M,KCEJ,,1 Player
Grim Fandango,1998-10-14,94,15,9.1,685,T,LucasArts,,
Tom Clancy's Splinter Cell Chaos Theory,2005-03-28,94,70,9.0,218,M,Ubisoft Montreal,,1-4 Players
Burnout 3: Takedown,2004-09-07,94,76,7.7,182,T,Criterion Games,8 Players Online,1-2 Players
Diablo,1996-12-31,94,12,8.7,1161,M,Blizzard Entertainment,Up to 4 Players,1-4 Players
Metal Gear Solid 3: Subsistence,2006-03-14,94,53,9.1,657,M,Aspect,8 Players Online,1 Player
Call of Duty: Modern Warfare 2,2009-11-10,94,100,6.5,2957,M,Infinity Ward,Up to 18 Players,
Metal Gear Solid 4: Guns of the Patriots,2008-06-12,94,82,8.8,4088,M,Kojima Productions,16 Players Online Up to 16 Players,1 Player
NCAA Football 2004,2003-07-16,94,15,8.3,86,E,EA Sports,,1-8 Players
God of War,2005-03-22,94,75,8.9,1679,M,SCE Santa Monica,,1 Player
Star Wars: Knights of the Old Republic,2003-07-17,94,72,9.1,409,T,BioWare,,1 Player
Sid Meier's Civilization IV,2005-10-25,94,50,8.3,1070,E10+,Firaxis Games,12 Players Online Online Multiplayer,1-12 Players
Madden NFL 2004,2003-08-12,94,19,7.1,25,E,EA Tiburon,,1-4 Players
Virtua Fighter 4,2002-03-17,94,36,8.1,95,T,Sega AM2,,1-2 Players
The Witcher 3: Wild Hunt,2015-05-18,93,32,9.4,17537,M,CD Projekt Red Studio,,
Burnout 3: Takedown,2004-09-07,93,52,9.0,385,T,Criterion Games,,1-16 Players
Super Smash Bros. Brawl,2008-03-09,93,81,8.8,2022,T,Game Arts,,1-4 Players
Company of Heroes,2006-09-13,93,55,8.8,1336,M,Relic,,1-8 Players
Gran Turismo 2,1999-11-30,93,23,9.0,246,T,Polyphony Digital,,1-2 Players
The Last of Us Part II,2020-06-19,93,121,5.7,146262,M,Naughty Dog, No Online Multiplayer,
Tom Clancy's Splinter Cell Pandora Tomorrow,2004-03-23,93,74,8.6,95,T,Ubisoft Shanghai,,1-4 Players
Grand Theft Auto: Chinatown Wars,2009-03-17,93,85,8.3,334,M,Rockstar Leeds,,
Divinity: Original Sin II - Definitive Edition,2019-09-04,93,17,8.6,279,M,"Larian Studios Games, BlitWorks, The Dragon Commanders",Online Multiplayer Up to 4 Players,
Pac-Man Championship Edition DX,2010-11-17,93,43,7.6,140,E,Namco Bandai Games,,
Street Fighter Alpha 3,1999-04-30,93,12,8.5,88,T,Capcom,,1-2 Players
Tony Hawk's Pro Skater 3,2002-03-04,93,22,7.6,21,T,Neversoft Entertainment,,1-4 Players
Hades,2020-09-17,93,42,9.1,210,T,Supergiant Games,No Online Multiplayer,
Half-Life: Alyx,2020-03-23,93,68,9.1,2104,,Valve Software,No Online Multiplayer,
Divinity: Original Sin II,2017-09-14,93,72,8.8,1946,,Larian Studios Games,,
Unreal Tournament 2004,2004-03-16,93,48,8.8,719,M,Epic Games,,1-32 Players
BioShock Infinite,2013-03-26,93,33,8.6,1814,M,Irrational Games,No Online Multiplayer,
Braid,2008-08-06,93,57,8.5,464,E10+,Number None Inc.,,1 Player
God of War II,2007-03-13,93,70,8.9,1215,M,SCE Santa Monica,,1 Player
Super Mario 3D World,2013-11-22,93,83,8.9,2001,E,Nintendo,,1-4 Players
Ori and the Will of the Wisps,2020-09-17,93,20,8.9,145,E,Moon Studios,No Online Multiplayer,
Starcraft II: Wings of Liberty,2010-07-27,93,82,8.3,3477,T,Blizzard Entertainment,Up to 4 Players,
SSX,2000-10-30,93,35,8.2,55,E,EA Sports Big,,1-2 Players
Street Fighter IV,2009-02-17,93,77,7.3,322,T,Capcom,2 Players 2 Players Online,1-2 Players
Minecraft,2011-11-18,93,33,7.9,5818,,Mojang AB,,
Undertale,2018-09-18,93,8,8.0,354,E10+,"tobyfox, 8-4",No Online Multiplayer,
Persona 4 Golden,2012-11-20,93,61,8.6,1700,M,Atlus,,
Persona 5,2017-04-04,93,98,8.7,4717,M,Atlus,No Online Multiplayer,
Red Dead Redemption 2,2019-11-05,93,44,5.5,3546,M,Rockstar Games,Up to 32 Players,
SSX 3,2003-10-20,93,41,8.8,178,E,EA Canada,,1-2 Players
Tom Clancy's Splinter Cell,2002-11-17,93,46,8.6,142,T,Ubisoft Montreal,,1 Player
Grand Theft Auto III,2002-05-20,93,20,8.3,1254,M,"DMA Design, Rockstar North",,1 Player
Quake III Arena,2000-10-22,93,25,8.3,75,M,Raster,,
Homeworld,1999-08-31,93,20,8.8,383,E,Relic,,1-8 Players
Okami,2006-09-19,93,69,9.1,470,T,Clover Studio,,1 Player
The Elder Scrolls IV: Oblivion,2007-03-20,93,45,8.1,672,M,4J Studios,,1 Player
Fallout 3,2008-10-28,93,84,8.5,1855,M,Bethesda Game Studios,,1 Player
Gears of War 2,2008-11-07,93,90,7.8,3060,M,Epic Games,,1-2 Players
SoulCalibur II,2003-08-27,93,45,8.9,185,T,Namco,,1-2 Players
World Soccer Winning Eleven 6 International,2003-03-11,93,24,8.3,78,E,KCET,,1-8 Players
NFL 2K3,2002-08-12,93,20,7.3,26,E,Visual Concepts,,1-2 Players
Mass Effect 3,2012-03-06,93,74,5.9,3740,M,BioWare,,
