naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev 
Bushido Blade,1997-09-30,83,13,8.6,29,T,Light Weight,,1-2 Players
NBA 2K10,2009-10-06,83,30,7.8,40,E,Visual Concepts,Up to 10 Players,
NBA 2K7,2006-09-25,83,8,7.5,6,E,"Kush Games, Visual Concepts",,1-4 Players
Resident Evil HD Remaster,2015-01-20,83,49,8.5,829,M,Capcom,No Online Multiplayer,
Unreal Tournament III,2007-11-19,83,41,8.0,563,M,Epic Games,32 Players Online,1-32 Players
This War of Mine,2014-11-14,83,63,8.3,919,,11 bit studios,No Online Multiplayer,
Devil Daggers,2016-02-18,83,20,7.2,67,,Sorath,,
Puyo Puyo Tetris,2017-04-25,83,16,7.3,54,E10+,"Sega, Sonic Team",Up to 4 Players,
Dark Souls II: Crown of the Old Iron King,2014-08-26,83,11,8.1,81,,From Software,,
NBA Ballers,2004-04-05,83,44,8.8,22,E,Midway,,1-3 Players
Genma Onimusha,2002-01-28,83,27,8.6,17,M,Capcom,,1 Player
Space Station Silicon Valley,1998-10-21,83,10,8.3,20,E,DMA Design,,1 Player
Persona 4 Arena,2012-08-07,83,21,4.6,237,T,Arc System Works,,1-2 Players
The Elder Scrolls Online: Summerset,2018-05-21,83,12,6.1,102,M,ZeniMax Media,Massively Multiplayer,
The Blackwell Epiphany,2014-04-24,83,14,7.6,74,,Wadjet Eye Games,,
The Lord of the Rings Online: Siege of Mirkwood,2009-12-01,83,8,7.1,50,T,Turbine Inc.,,
Sine Mora,2012-03-21,83,61,7.4,62,M,"Digital Reality, Grasshopper Manufacture",,
One Finger Death Punch 2,2019-04-15,83,9,8.1,17,,Silver Dollar Games,,
Retro City Rampage DX,2014-02-06,83,8,7.5,45,T,Vblank Entertainment Inc.,,
Out of the Park Baseball 10,2009-06-02,83,7,7.6,40,,Out Of The Park Developments,,
Need for Speed: Shift,2009-09-15,83,75,6.4,145,E,Slightly Mad Studios,,
Colin McRae Rally 2005,2004-09-28,83,35,7.5,6,E,Codemasters,,1-4 Players
Crash Bandicoot 4: It's About Time,2020-10-02,83,17,8.5,63,E10+,Toys for Bob,No Online Multiplayer,
Tomb Raider: Anniversary,2007-06-05,83,26,8.0,314,T,Nixxes Software,,1 Player
Need for Speed: Most Wanted,2005-11-16,83,54,8.5,176,T,EA Canada,4 Players Online Up to 4 Players,1-2 Players
Bangai-O Spirits,2008-08-12,83,38,7.8,29,E10+,Treasure,4 Players Online,1 Player
The Forest,2018-04-30,83,16,7.3,382,,SKS Games,,
Tekken Tag Tournament 2: Wii U Edition,2012-11-18,83,28,8.0,107,T,Namco Bandai Games,,1-4 Players
Call of Duty: Modern Warfare Remastered,2016-11-04,83,27,7.1,547,M,Infinity Ward,Up to 18 Players,
Need for Speed: Shift,2009-09-15,83,22,5.9,466,E,Slightly Mad Studios,,
MLB The Show 20,2020-03-13,83,39,6.6,156,E,SCEA San Diego Studios,Online Multiplayer,
Hearts of Iron II,2005-01-04,83,27,8.5,99,E,Paradox Development Studio,,1-32 Players
Pinball Hall of Fame: The Williams Collection,2009-09-22,83,18,8.3,16,E10+,Farsight Studios,No Online Multiplayer,
Final Fantasy XIII,2010-03-09,83,83,7.2,2816,T,Square Enix,,1 Player
NCAA Football 10,2009-07-14,83,26,6.7,38,E,EA Tiburon,2 Players Online,1-4 Players
ZEN Pinball 2: Portal Pinball,2015-05-26,83,8,4.9,14,E10+,Zen Studios,,
Star Wars Pinball,2013-07-11,83,13,7.1,29,E10+,Zen Studios,,
TimeSplitters: Future Perfect,2005-03-21,83,54,8.9,44,M,Free Radical Design,,1-4 Players
FIFA Soccer 11,2010-09-28,83,16,7.7,122,E,EA Sports,,
Project CARS,2015-05-06,83,48,7.1,473,E,Slightly Mad Studios,,
Crush,2007-05-29,83,41,8.2,25,E10+,Zoe Mode,,1 Player
Total War: WARHAMMER II - Curse of the Vampire Coast,2018-11-08,83,9,7.6,24,,Creative Assembly,,
Guardian Heroes,2011-10-12,83,32,8.1,32,T,Treasure,,
Ring Fit Adventure,2019-10-18,83,44,8.7,197,E10+,Nintendo,No Online Multiplayer,
Borderlands,2009-10-20,83,58,7.8,506,M,Gearbox Software,,1-4 Players
Duck Game,2019-05-01,83,9,7.9,32,E10+,Landon Podbielski,No Online Multiplayer,
Need for Speed Underground,2003-11-17,83,25,8.4,46,E,Electronic Arts,,1-2 Players
Freedom Fighters,2003-10-01,83,15,7.5,14,T,Io Interactive,,1-4 Players
High Heat Major League Baseball 2004,2003-03-05,83,14,7.6,9,E,3DO,,1-2 Players
Icewind Dale II,2002-08-26,83,22,8.3,182,T,Black Isle Studios,,
Age of Empires,1997-09-30,83,9,8.7,361,T,Ensemble Studios,,1-8 Players
EverQuest II: Echoes of Faydwer,2006-11-13,83,17,8.6,16,T,Sony Online Entertainment,,Massively Multiplayer
Pocket Card Jockey,2016-05-05,83,16,8.0,29,E10+,Game Freak,,
Dragon Quest Builders,2016-10-11,83,76,8.1,225,E10+,Square Enix,No Online Multiplayer,
Transistor,2014-05-20,83,57,8.2,649,T,Supergiant Games,,
Bleach: The Blade of Fate,2007-10-09,83,32,7.3,26,T,Treasure,,1-4 Players
The Yakuza Remastered Collection,2019-08-20,83,21,7.3,21,M,Ryu ga Gotoku Studios,No Online Multiplayer,
Lumines: Electronic Symphony,2012-02-15,83,65,7.9,90,E,Q Entertainment,,
Prince of Persia: Warrior Within,2004-11-30,83,55,7.8,41,M,Ubisoft Montreal,,1 Player
Splatoon 2,2017-07-21,83,100,8.5,1202,E10+,Nintendo,Up to 8 Players,
Dark Souls II: Crown of the Ivory King,2014-09-29,83,7,8.5,55,,Namco Bandai Games,,
Yoku's Island Express,2018-05-29,83,11,7.5,29,E10+,Villa Gorilla,No Online Multiplayer,
Everyday Shooter,2007-10-11,83,26,7.3,24,E,Backbone Entertainment,,1 Player
Crackdown,2007-02-20,83,75,7.9,387,M,Realtime Worlds,2 Players 2 Players Online,1-2 Players
EverQuest II,2004-11-08,83,43,7.4,87,T,Sony Online Entertainment,,Massively Multiplayer
Yakuza 6: The Song of Life,2018-04-17,83,91,8.3,396,M,Ryu ga Gotoku Studios,No Online Multiplayer,
Call of Duty 3,2006-11-07,83,12,7.5,20,T,Treyarch,16 Players Online,1 Player
UFC Undisputed 2009,2009-05-19,83,68,7.9,55,T,Yuke's,,1-2 Players
Fable: The Lost Chapters,2005-10-18,83,27,8.6,72,M,Lionhead Studios,,1 Player
NBA 2K19,2018-09-07,83,18,2.8,106,E,Visual Concepts,Up to 10 Players,
Terraria,2011-05-16,83,29,8.7,2139,T,Re-Logic,,
Madden NFL 09,2008-08-12,83,50,6.9,128,E,EA Tiburon,,1-4 Players
Destiny 2,2017-10-24,83,36,4.2,1466,T,"Bungie Software, Bungie",Up to 16 Players,
Final Fantasy XIV Online: A Realm Reborn,2013-08-27,83,32,7.2,1506,T,Square Enix,,
MLB 06: The Show,2006-02-28,83,30,8.6,32,E,SCEA San Diego Studios,,1-2 Players
Magic: Duels of the Planeswalkers 2014,2013-06-26,83,19,5.5,24,T,Stainless Games,,
Card Hunter (2013),2013-09-12,83,18,7.7,62,,Blue Manchu,,
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,2010-05-18,83,24,7.5,25,T,Telltale Games,No Online Multiplayer,
Madden NFL 17,2016-08-23,83,30,5.4,59,E,EA Sports,2 Players,
Just Cause 2,2010-03-23,83,66,8.0,327,M,Avalanche Studios,,
Picross DS,2007-07-30,83,33,8.0,40,E,Jupiter Corporation,5 Players Online,1-5 Players
Fight Night Round 3,2006-12-05,83,37,7.9,29,T,EA Chicago,,1-2 Players
Spider-Man 2,2004-06-28,83,60,8.3,48,T,Treyarch,,1 Player
Spiritfarer,2020-08-18,83,15,8.1,38,,Thunder Lotus Games,,
Knights and Bikes,2020-02-06,83,7,8.3,11,E10+,Foam Sword Games,No Online Multiplayer,
Shovel Knight: King of Cards,2019-12-10,83,19,7.9,26,E10+,Yacht Club Games,No Online Multiplayer,
Battle Chef Brigade,2018-08-28,83,8,,,E10+,Trinket Studios,No Online Multiplayer,
The Banner Saga 3,2018-07-26,83,9,8.3,27,T,Stoic,No Online Multiplayer,
Steins;Gate,2015-06-05,83,8,8.6,74,M,Nitro+,No Online Multiplayer,
SteamWorld Dig,2015-06-05,83,8,7.8,19,E10+,Image & Form,,
Oddworld: Stranger's Wrath HD,2012-12-18,83,9,8.1,80,T,Just Add Water,,
NHL 13,2012-09-11,83,44,6.6,87,E10+,Electronic Arts,,
Madden NFL 13,2012-08-28,83,22,5.5,105,E,EA Tiburon,,
Fallout: New Vegas - Old World Blues,2011-07-19,83,19,8.2,101,M,Obsidian Entertainment,,
Darksiders,2010-09-23,83,18,7.7,777,M,Vigil Games,No Online Multiplayer,
Clubhouse Games,2006-10-09,83,30,7.8,31,E,Agenda,,1-8 Players
Super Puzzle Fighter II,2003-03-31,83,22,,,E,Atomic Planet Entertainment,,1-2 Players
Tom Clancy's Rainbow Six 3: Raven Shield,2003-03-19,83,29,8.7,93,M,Ubisoft Montreal,,1-16 Players
Xenosaga Episode I: Der Wille zur Macht,2003-02-26,83,35,8.7,127,T,Monolith Soft,,1 Player
World of Outlaws: Sprint Cars,2003-02-11,83,10,7.2,10,E,Ratbag,,1-10 Players
Street Fighter Alpha 3,2002-12-01,83,17,8.2,16,T,Crawfish Interactive,,1-2 Players
Colin McRae Rally 2.0,2001-02-13,83,14,8.6,100,E,Codemasters,,1-8 Players
Combat Flight Simulator 2: WWII Pacific Theater,2000-10-13,83,22,7.0,9,E,Microsoft Game Studios,,1-16 Players
Resistance 3,2011-09-06,83,91,7.8,635,M,Insomniac Games,16 Players Online Up to 16 Players,1 Player 1-2 Players
Orcs Must Die! 2,2012-07-30,83,43,7.9,535,T,Robot Entertainment,,
Metro Redux,2014-08-26,83,30,8.0,759,M,4A Games,No Online Multiplayer,
Octopath Traveler,2018-07-12,83,79,8.5,1138,T,"Square Enix, Acquire",No Online Multiplayer,
BYE-BYE BOXBOY!,2017-04-12,83,23,7.9,28,E,HAL Labs,,
Ratchet & Clank Collection,2012-08-28,83,40,8.4,250,E10+,"Idol Minds, Insomniac Games",,
Hitman,2016-10-31,83,20,7.5,304,M,Io Interactive,,
Picross 3D,2010-05-03,83,35,8.1,40,E,HAL Labs,,1 Player
Gunstar Super Heroes,2005-10-25,83,31,7.8,16,E10+,Treasure,,1 Player
Madden NFL 07,2006-08-22,83,27,7.4,7,E,EA Tiburon,,1-4 Players
Stretchmo,2015-05-14,83,13,7.9,26,E,Intelligent Systems,,
The Misadventures of P.B. Winterbottom,2010-02-17,83,50,7.5,239,E,The Odd Gentlemen,,
Mega Man Zero / ZX Legacy Collection,2020-02-25,83,27,8.5,104,T,Capcom,No Online Multiplayer,
The Swapper,2014-08-05,83,28,7.6,214,E10+,Facepalm Games,,
Mighty Flip Champs!,2009-06-01,83,9,7.7,9,E,WayForward,,1 Player
Persona 2: Eternal Punishment,2000-12-22,83,11,4.4,229,T,Atlus Co.,,1 Player
Prey (2006),2006-07-11,83,51,7.9,426,M,Human Head Studios,8 Players Online,1 Player
LEGO Marvel Super Heroes,2013-11-15,83,22,7.7,352,E10+,TT Games,,
Metal Gear Rising: Revengeance,2014-01-09,83,27,8.0,825,M,PlatinumGames,No Online Multiplayer,
Tony Hawk's Underground 2,2004-10-04,83,55,7.9,15,T,Neversoft Entertainment,,1-2 Players
Castlevania: Lords of Shadow,2010-10-05,83,70,7.9,271,M,Mercury Steam,No Online Multiplayer,
Sine Mora,2012-11-20,83,9,7.4,20,M,"Digital Reality, Grasshopper Manufacture",,
Tales of Monkey Island Chapter 5: Rise of the Pirate God,2010-02-01,83,7,7.7,6,E10+,Telltale Games,,1 Player
Crisis Core: Final Fantasy VII,2008-03-24,83,67,8.6,718,T,Square Enix,,1 Player
Starseed Pilgrim,2013-04-16,83,12,6.2,37,,Droqen,,
Age of Conan: Rise of the Godslayer,2010-05-11,83,14,7.6,60,M,Funcom,,
Trine,2009-10-22,83,24,7.8,74,E10+,"Frozenbyte, Inc.",,1-3 Players
Darksiders,2010-01-05,83,81,7.9,339,M,Vigil Games,No Online Multiplayer,
MLB 08: The Show,2008-03-04,83,14,7.8,13,E,SCEA San Diego Studios,,1 Player
Alan Wake,2012-02-16,83,30,8.0,1892,T,Remedy Entertainment,No Online Multiplayer,
OlliOlli: Switch Stance,2019-02-14,83,18,7.9,9,,Gambitious,,
Titanfall,2014-04-08,83,21,6.0,391,M,Bluepoint Games,,
Karaoke Revolution,2003-10-24,83,29,8.7,18,E,Harmonix Music Systems,,1-8 Players
Hitman 2: Silent Assassin,2003-06-19,83,17,6.1,12,M,Io Interactive,,1 Player
NBA Live 2003,2002-10-08,83,22,8.4,26,E,EA Canada,,1-2 Players
Tiger Woods PGA Tour 2002,2002-02-24,83,9,5.8,6,E,Headgate,,1-8 Players
Monaco: What's Yours Is Mine,2013-04-24,83,47,7.7,221,T,Pocketwatch Games,,1-4 Players
Indigo Prophecy,2005-09-26,83,47,8.1,143,M,Quantic Dream,,1 Player
Deus Ex: Mankind Divided,2016-08-23,83,18,7.5,251,M,Eidos Montreal,No Online Multiplayer,
Trials Rising,2019-02-26,83,13,4.7,52,T,RedLynx,Up to 8 Players,
Castle Crashers Remastered,2015-09-09,83,16,7.8,48,T,The Behemoth,,
Transistor,2014-05-20,83,35,8.4,839,T,Supergiant Games,No Online Multiplayer,
Pac-Man Championship Edition,2007-06-06,83,34,8.5,34,E,Namco Bandai Games,,1 Player
Prince of Persia: Warrior Within,2004-11-30,83,31,8.0,29,M,Ubisoft,,1 Player
Moonlighter,2018-11-05,83,23,8.1,95,E10+,"11 bit studios, Digital Sun",No Online Multiplayer,
Mutant Mudds: Super Challenge,2016-03-17,83,7,6.9,21,E,Renegade Kid,,
Child of Light,2014-07-01,83,15,7.9,125,E10+,Ubisoft Montreal,2 Players,
Rogue Galaxy,2007-01-30,83,59,8.0,127,T,Level 5,,1 Player
inFamous 2,2011-06-07,83,90,8.6,1190,T,Sucker Punch,No Online Multiplayer,1 Player
Nintendogs: Chihuahua & Friends,2005-08-22,83,55,8.0,82,E,Nintendo,,1 Player
Tekken Tag Tournament 2,2012-09-11,83,35,7.7,105,T,Namco Bandai Games,,1-4 Players
No Man's Sky Beyond,2019-08-14,83,9,8.2,143,T,Hello Games,Online Multiplayer,
Yakuza 5,2015-12-08,83,34,8.6,251,M,Ryu ga Gotoku Studios,,
DiRT,2007-09-11,83,32,8.0,38,E,Codemasters,,1 Player
FIFA Soccer 08,2007-10-09,83,12,6.9,46,E,EA Canada,,1-8 Players
Creaks,2020-07-22,83,7,6.8,8,T,Amanita Design,No Online Multiplayer,
Zero Escape: Zero Time Dilemma,2016-06-28,83,31,8.2,138,M,"Spike Chunsoft, Chime",No Online Multiplayer,
Outland,2011-06-14,83,28,7.8,72,E10+,Housemarque,,
Skylanders Swap Force,2013-10-13,83,31,5.6,38,E10+,Vicarious Visions,No Online Multiplayer,
GRIS,2018-12-13,83,43,8.7,278,E,Nomada Studio,No Online Multiplayer,
Call of Duty: Advanced Warfare,2014-11-03,83,39,5.7,1643,M,Sledgehammer Games,Up to 18 Players,
Super Mega Baseball 3,2020-05-13,83,12,6.6,10,E,Metalhead Software,Up to 4 Players,
Sayonara Wild Hearts,2019-09-19,83,16,6.4,42,E10+,Simogo,No Online Multiplayer,
WarioWare: Smooth Moves,2007-01-15,83,61,7.5,208,E10+,Intelligent Systems,,1-4 Players
Tiger Woods PGA Tour 06,2005-09-20,83,29,6.4,17,E,EA Sports,,1-4 Players
The Sexy Brutale,2017-04-11,83,28,7.6,84,T,"Tequila Works, Cavalier Game Studios",No Online Multiplayer,
MLB 14: The Show,2014-05-06,83,17,7.6,212,E,SCEA San Diego Studios,Up to 8 Players,
Helldivers,2015-12-07,83,14,6.9,88,T,Arrowhead Game Studios,Online Multiplayer,
Project CARS,2015-05-12,83,37,6.6,430,E,Slightly Mad Studios,,
Worldwide Soccer Manager 2009,2008-11-18,83,29,7.6,33,E,Sports Interactive,,1-8 Players
Call of Duty: World at War,2008-11-10,83,36,7.6,1013,M,Treyarch,,
Torchlight,2009-10-27,83,57,7.9,861,T,Runic Games,,
FIFA 19,2018-09-25,83,67,2.0,1163,E,EA Sports,Up to 22 Players,
Ape Out,2019-02-28,83,34,6.9,69,,Gabe Cuzzillo,,
Mortal Kombat X,2015-04-14,83,81,7.8,1058,M,"Warner Bros. Interactive Entertainment, NetherRealm Studios",,
Valdis Story: Abyssal City,2013-09-08,83,7,7.7,85,,Endless Fluff,,
Art Style: PiCTOBiTS,2009-05-18,83,9,7.6,12,E,Nintendo,,1 Player
Sonic Advance 2,2003-03-09,83,23,8.0,70,E,Dimps Corporation,,1-4 Players
Rayman 3,2003-03-02,83,21,7.4,12,E,Ubisoft,,1-4 Players
NCAA College Basketball 2K3,2002-12-02,83,17,8.2,5,E,Kush Games,,1-10 Players
Steel Battalion,2002-11-21,83,20,8.5,18,T,Capcom,,1 Player
XGIII: Extreme G Racing,2001-11-27,83,21,7.8,16,E,Acclaim,,1-4 Players
FIFA 2001,2000-11-24,83,18,7.3,17,E,EA Canada,,1-8 Players
Crimson Skies,2000-09-17,83,32,7.7,23,T,Zipper Interactive,,1-8 Players
Professor Layton and the Last Specter,2011-10-18,83,58,8.2,76,E10+,Level 5,,
NBA 2K15,2014-10-07,83,50,6.9,305,E,Visual Concepts,,
Katana ZERO,2019-04-18,83,27,8.9,373,,Askiisoft,,
Danganronpa 1-2 Reload,2017-03-14,83,29,8.3,118,M,Spike Chunsoft,No Online Multiplayer,
LIMBO,2018-06-28,83,27,8.4,48,T,PLAYDEAD,,
Nintendogs: Lab & Friends,2005-08-22,83,54,7.7,117,E,Nintendo,,1 Player
Xenoblade Chronicles 2,2017-12-01,83,92,8.7,1956,T,Monolith Soft,No Online Multiplayer,
Need for Speed Most Wanted,2005-11-15,83,32,8.8,40,T,EA Canada,4 Players Online,1-2 Players
WRC 9 FIA World Rally Championship,2020-09-04,83,12,5.8,11,E,KT Racing,Up to 8 Players,
Madden NFL 16,2015-08-25,83,37,5.7,197,E,EA Sports,2 Players,
RACE 07: Official WTCC Game,2007-10-09,83,22,8.8,195,E,SimBin,24 Players Online,1 Player
Freedom Planet,2014-07-21,83,7,8.3,136,E10+,GalaxyTrail,No Online Multiplayer,
Dark Souls Remastered,2018-10-19,83,51,8.0,260,M,From Software,Up to 6 Players,
2010 FIFA World Cup South Africa,2010-04-27,83,61,8.2,60,E,Electronic Arts,,
FIFA Soccer 10,2009-10-20,83,9,7.5,17,E,"EA Sports, HB Studios Multimedia",,
Gravity Rush,2012-06-12,83,73,8.5,702,T,SCE Japan Studio,,
Pokemon Omega Ruby,2014-11-21,83,61,7.4,876,E,Game Freak,Up to 4 Players,
Horizon Zero Dawn: The Frozen Wilds,2017-11-07,83,70,7.9,686,T,Guerrilla,No Online Multiplayer,
Ninja Gaiden: Dragon Sword,2008-03-25,83,52,7.8,38,T,Team Ninja,,1 Player
Rhythm Heaven Fever,2012-02-13,83,56,8.2,79,E,Nintendo,,
Ms. 'Splosion Man,2011-07-13,83,62,6.9,34,T,Twisted Pixel Games,,1 Player
Detention,2017-10-03,83,12,7.4,28,M,Red Candle Games,No Online Multiplayer,
SUPERHOT,2017-07-21,83,14,7.4,60,T,SUPERHOT,,
SUPERHOT,2016-05-03,83,18,7.8,97,T,SUPERHOT,,
CastleStorm,2013-12-26,83,8,7.8,38,T,Zen Studios,,
EverQuest II: Rise of Kunark,2007-11-13,83,9,7.6,16,T,Sony Online Entertainment,,1 Player
Ninja Gaiden Sigma 2,2009-09-29,83,52,7.8,150,M,Team Ninja,2 Players,
Dragon Quest Heroes: Rocket Slime,2006-09-19,83,41,7.8,52,E,"Square Enix, TOSE",,1-16 Players
Sleeping Dogs,2012-08-14,83,40,7.7,709,M,United Front Games,No Online Multiplayer,
Contra 4,2007-11-13,83,38,7.9,54,T,WayForward,No Online Multiplayer,1-2 Players
Street Fighter: 30th Anniversary Collection,2018-05-29,83,26,7.1,68,T,"Capcom, Digital Eclipse",2 Players,
Rhythm Heaven,2009-04-05,83,48,8.4,83,E,Nintendo,,1 Player
Collection of Mana,2019-06-11,83,23,8.2,40,E10+,M2,No Online Multiplayer,
Path of Exile: The Fall of Oriath,2017-08-24,83,8,7.5,34,M,Grinding Gear Games,Up to 6 Players,
The Legend of Heroes: Trails in the Sky the 3rd,2017-05-03,83,11,8.1,59,,Falcom,,
SteamWorld Heist,2016-06-07,83,9,7.2,45,E10+,Image & Form,,
Dark Age of Camelot: Catacombs,2004-12-07,83,9,7.0,12,T,Mythic Entertainment,,Massively Multiplayer
ABZU,2016-08-02,83,19,6.9,285,E,Giant Squid,No Online Multiplayer,
The Messenger,2018-08-30,83,12,7.7,129,E10+,Sabotage Studio,No Online Multiplayer,
Nintendogs: Dalmatian & Friends,2006-10-16,83,7,7.4,28,E,Nintendo,,1 Player
Little Nightmares,2017-04-28,83,22,7.8,62,T,Tarsier Studios,,
Stacking,2011-02-08,83,44,7.7,56,E10+,Double Fine Productions,,1 Player
Overcooked! 2: Surf 'n' Turf,2018-10-03,83,8,8.4,7,E,Ghost Town Games Ltd.,,
Spore Creature Creator,2008-06-17,83,7,7.7,71,E,"Maxis, EA Redwood Shores",,
Final Fantasy V Advance,2006-11-06,83,25,8.2,74,E,TOSE,,1 Player
Colin McRae Rally 2005,2004-10-28,83,11,7.6,71,E,Codemasters,8 Players Online,1-4 Players
James Bond 007: Everything or Nothing,2004-02-17,83,51,7.5,29,T,EA Redwood Shores,,1-2 Players
The Sims,2003-01-12,83,33,7.6,53,T,Edge of Reality,,1-2 Players
All-Star Baseball 2003,2002-02-25,83,16,8.0,6,E,Acclaim,,1-4 Players
F1 2001,2001-11-18,83,11,5.0,7,E,EA Sports,,1-4 Players
Looney Tunes: Space Race,2000-11-27,83,14,8.5,11,E,Melbourne House,,
Tom Clancy's Splinter Cell: Conviction,2010-04-27,83,20,5.5,767,M,Ubisoft Montreal,,
Luftrausers,2014-03-18,83,17,7.4,94,E,Vlambeer,,
And Yet It Moves,2010-08-23,83,26,7.7,20,E,Broken Rules,,1 Player
Tribes: Vengeance,2004-10-12,83,44,7.7,46,T,Irrational Games,32 Players Online,1-32 Players
Hitman: Absolution,2012-11-20,83,30,7.6,580,M,Io Interactive,No Online Multiplayer,
Super Puzzle Fighter II Turbo HD Remix,2007-08-29,83,20,8.0,16,E,Backbone Entertainment,,1-4 Players
Hitman: Blood Money,2006-05-30,83,36,8.6,140,M,Io Interactive,,1 Player
Kirby Mass Attack,2011-09-19,83,46,8.1,72,E,HAL Labs,,
Call of Duty: Black Ops II,2012-11-13,83,21,5.7,1076,M,Treyarch,Up to 18 Players,
Guitar Hero III: Legends of Rock,2007-10-28,83,45,7.8,60,T,Neversoft Entertainment,2 Players 2 Players Online,1-2 Players
Alan Wake,2010-05-18,83,100,8.2,1333,T,Remedy Entertainment,,
Sega Ages: Sonic the Hedgehog 2,2020-02-20,83,15,7.7,10,E,Sonic Team,,
Gorogoa,2017-12-14,83,16,7.8,47,E,"Jason Roberts, Buried Signal",No Online Multiplayer,
Tales From The Borderlands: Episode 3 - Catch A Ride,2015-06-23,83,12,7.3,80,M,Telltale Games,No Online Multiplayer,
L.A. Noire: The Complete Edition,2011-11-08,83,28,8.0,1180,M,Rockstar Leeds,,1 Player
Brutal Legend,2009-10-13,83,61,7.6,187,M,Double Fine Productions,Up to 8 Players,
Dragon Quest Wars,2009-09-28,83,8,5.3,17,E,Intelligent Systems,,1-4 Players
VVVVVV,2011-12-29,83,19,8.0,85,E,Terry Cavanagh,,1 Player
Katana ZERO,2019-04-17,83,37,8.7,184,M,Askiisoft,No Online Multiplayer,
GTR Evolution,2008-09-01,83,19,7.8,70,E,SimBin,,
Marvel: Ultimate Alliance,2006-10-24,83,26,6.6,9,T,Raven Software,,1-4 Players
Killer Queen Black,2019-10-11,83,19,8.3,51,E10+,Liquid Bit,Up to 8 Players,
Life is Strange: Episode 5 - Polarized,2015-10-20,83,8,8.4,340,M,DONTNOD Entertainment,,
Battlefield 3: Back to Karkand,2011-12-06,83,8,7.5,79,M,EA DICE,,
Bully: Scholarship Edition,2008-03-04,83,34,8.1,68,T,Rockstar Toronto,,1 Player
Def Jam: Fight for NY,2004-09-20,83,46,8.8,114,M,Aki Corp.,,1-4 Players
SteamWorld Dig,2014-08-28,83,13,8.0,69,E10+,Image & Form,,
Broforce,2014-04-07,83,32,8.0,300,,Free Lives,,
Disgaea 2: Dark Hero Days,2009-09-08,83,33,8.3,50,T,Nippon Ichi Software,No Online Multiplayer,
Dust: An Elysian Tail,2012-08-15,83,59,8.0,164,E10+,Humble Hearts,,1 Player
Battlefield: Bad Company,2008-06-23,83,70,7.7,286,T,EA DICE,24 Players Online Up to 24 Players,1 Player
A Plague Tale: Innocence,2019-05-14,83,22,8.4,312,M,Asobo Studio,No Online Multiplayer,
Splasher,2017-10-26,83,7,8.0,23,E,Splashteam,No Online Multiplayer,
Spelunky,2013-08-27,83,8,7.7,50,T,"Mossmouth, BlitWorks",,
NCAA Football 09,2008-07-15,83,24,7.7,26,E,EA Tiburon,12 Players Online,1-4 Players
Star Wars: Battlefront II (2005),2005-11-01,83,40,8.9,155,T,Pandemic Studios,,1-4 Players
Wipeout Fusion,2002-06-17,83,21,8.6,50,E,Studio Liverpool,,1-2 Players
Independence War 2: Edge of Chaos,2001-08-22,83,17,7.9,25,E,Particle Systems,No Online Multiplayer,
Myst III: Exile,2001-05-08,83,22,7.6,55,E,Presto Studios,,1 Player
Final Fantasy Tactics,1998-01-28,83,12,9.1,355,T,SquareSoft,,1 Player
Ace Combat 2,1997-07-31,83,10,8.8,50,T,Namco,,1 Player
Superbrothers: Sword & Sworcery EP,2012-04-16,83,10,6.4,220,,Capy Games,No Online Multiplayer,
Spyro Reignited Trilogy,2018-11-13,83,19,7.2,138,E10+,"Activision, Toys for Bob",No Online Multiplayer,
Sid Meier's Civilization IV: Colonization,2008-09-22,83,32,6.8,109,E10+,Firaxis Games,,
Pro Evolution Soccer 2008,2008-03-18,83,19,8.2,46,E,Konami,,1-2 Players
Steel Division: Normandy 44,2017-05-23,83,24,7.6,62,,Eugen Systems,,
Hearts of Iron IV,2016-06-06,83,37,7.4,617,,Paradox Development Studio,,
Nintendogs: Dachshund & Friends,2005-08-22,83,53,7.9,62,E,Nintendo,,1 Player
Dynasty Warriors 8: Xtreme Legends - Definitive Edition,2018-12-27,83,14,8.6,16,T,Omega Force,No Online Multiplayer,
Skylanders Swap Force,2013-10-13,83,37,6.0,46,E10+,Vicarious Visions,,
Dark Souls II: Crown of the Sunken King,2014-07-22,83,18,8.0,65,T,Namco Bandai Games,,
Europa Universalis III,2007-01-23,83,25,8.4,214,E,Paradox Development Studio,,1-32 Players
FIFA 19,2018-09-25,83,25,2.3,238,E,EA Sports,Up to 22 Players,
Rhythm Heaven Megamix,2016-06-15,83,37,8.1,71,E,Nintendo,,
Duskers,2016-05-18,83,10,6.8,18,,Misfits Attic,,
F1 2011,2011-09-19,83,10,7.1,92,E,Codemasters,,
Severed,2016-09-22,83,8,7.7,20,T,DrinkBox Studios,,
Prince of Persia: Warrior Within,2004-11-30,83,29,8.6,489,M,Ubisoft Montreal,,1 Player
Door Kickers,2014-10-20,83,13,7.8,106,,KillHouse Games,,
Counter-Strike: Global Offensive,2012-08-21,83,38,7.3,4150,M,"Valve Software, Hidden Path Entertainment",,
Resident Evil 7: biohazard,2017-01-23,83,17,7.8,1161,M,Capcom,No Online Multiplayer,
