naslov,zanr
The Last of Us,General
The Last of Us,Modern
The Legend of Zelda: Twilight Princess,Action Adventure
The Legend of Zelda: Twilight Princess,Fantasy
The Legend of Zelda: Twilight Princess,General
The Legend of Zelda: Twilight Princess,Fantasy
The Legend of Zelda: Twilight Princess,Open-World
Madden NFL 2003,Sports
Madden NFL 2003,Traditional
Madden NFL 2003,Football
Madden NFL 2003,Sim
Tony Hawk's Pro Skater 2,Sports
Tony Hawk's Pro Skater 2,Alternative
Tony Hawk's Pro Skater 2,Skateboarding
Persona 5 Royal,Role-Playing
Persona 5 Royal,Japanese-Style
The Last of Us Remastered,Action Adventure
The Last of Us Remastered,General
The Last of Us Remastered,Modern
Portal 2,Action
Portal 2,Shooter
Portal 2,Shooter
Portal 2,First-Person
Portal 2,Sci-Fi
Portal 2,Sci-Fi
Portal 2,Arcade
Red Dead Redemption,Action
Red Dead Redemption,Action Adventure
Red Dead Redemption,Shooter
Red Dead Redemption,Historic
Red Dead Redemption,Historic
Red Dead Redemption,Open-World
Red Dead Redemption,Third-Person
Red Dead Redemption,Historic
Portal 2,Action
Portal 2,Shooter
Portal 2,Shooter
Portal 2,First-Person
Portal 2,Sci-Fi
Portal 2,Sci-Fi
Portal 2,Arcade
Metal Gear Solid V: The Phantom Pain,Modern
Metal Gear Solid V: The Phantom Pain,Modern
Metal Gear Solid V: The Phantom Pain,Action Adventure
Metal Gear Solid V: The Phantom Pain,Open-World
Portal 2,Action
Portal 2,Shooter
Portal 2,Shooter
Portal 2,First-Person
Portal 2,Sci-Fi
Portal 2,Sci-Fi
Portal 2,Arcade
World of Goo,Miscellaneous
World of Goo,Puzzle
World of Goo,Action
World of Goo,Puzzle
World of Goo,General
World of Goo,Puzzle
World of Goo,General
The Elder Scrolls V: Skyrim,Role-Playing
The Elder Scrolls V: Skyrim,First-Person
The Elder Scrolls V: Skyrim,First-Person
The Elder Scrolls V: Skyrim,Western-Style
BioShock Infinite,Action
BioShock Infinite,Shooter
BioShock Infinite,Shooter
BioShock Infinite,First-Person
BioShock Infinite,Sci-Fi
BioShock Infinite,Sci-Fi
BioShock Infinite,Arcade
Final Fantasy IX,Role-Playing
Final Fantasy IX,Console-style RPG
Call of Duty: Modern Warfare 2,Action
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 2,First-Person
Call of Duty: Modern Warfare 2,Modern
Call of Duty: Modern Warfare 2,Modern
Call of Duty: Modern Warfare 2,Arcade
God of War,Action Adventure
God of War,Linear
Tony Hawk's Pro Skater 4,Sports
Tony Hawk's Pro Skater 4,Alternative
Tony Hawk's Pro Skater 4,Skateboarding
Devil May Cry,Action Adventure
Devil May Cry,Fantasy
Call of Duty 4: Modern Warfare,Action
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,First-Person
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Arcade
Madden NFL 2002,Sports
Madden NFL 2002,Traditional
Madden NFL 2002,Football
Madden NFL 2002,Sim
Batman: Arkham City,Action Adventure
Batman: Arkham City,Fantasy
Batman: Arkham City,Fantasy
Batman: Arkham City,Open-World
Mass Effect 2,Role-Playing
Mass Effect 2,Action RPG
Mass Effect 2,Action RPG
The Legend of Zelda: Ocarina of Time 3D,Miscellaneous
The Legend of Zelda: Ocarina of Time 3D,Action Adventure
The Legend of Zelda: Ocarina of Time 3D,Fantasy
The Legend of Zelda: Ocarina of Time 3D,Fantasy
The Legend of Zelda: Ocarina of Time 3D,Compilation
The Legend of Zelda: Ocarina of Time 3D,Open-World
Chrono Cross,Role-Playing
Chrono Cross,Console-style RPG
Celeste,Action
Celeste,Platformer
Celeste,2D
BioShock,Action
BioShock,Shooter
BioShock,Shooter
BioShock,First-Person
BioShock,Sci-Fi
BioShock,Sci-Fi
BioShock,Arcade
Mass Effect 2,Role-Playing
Mass Effect 2,Action RPG
Mass Effect 2,Action RPG
Grand Theft Auto: Vice City,Action Adventure
Grand Theft Auto: Vice City,Modern
Grand Theft Auto: Vice City,Modern
Grand Theft Auto: Vice City,Open-World
Madden NFL 2004,Sports
Madden NFL 2004,Traditional
Madden NFL 2004,Football
Madden NFL 2004,Sim
Gears of War,Action
Gears of War,Shooter
Gears of War,Shooter
Gears of War,Third-Person
Gears of War,Sci-Fi
Gears of War,Sci-Fi
Gears of War,Arcade
The Elder Scrolls IV: Oblivion,Role-Playing
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,Western-Style
Sid Meier's Civilization II,Strategy
Sid Meier's Civilization II,Turn-Based
Sid Meier's Civilization II,Historic
Sid Meier's Civilization II,General
Sid Meier's Civilization II,Historic
Sid Meier's Civilization II,4X
Quake,Action
Quake,Shooter
Quake,Shooter
Quake,First-Person
Quake,Sci-Fi
Quake,Sci-Fi
Quake,Arcade
Call of Duty 4: Modern Warfare,Action
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,First-Person
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Arcade
BioShock Infinite,Action
BioShock Infinite,Shooter
BioShock Infinite,Shooter
BioShock Infinite,First-Person
BioShock Infinite,Sci-Fi
BioShock Infinite,Sci-Fi
BioShock Infinite,Arcade
Halo 3,Action
Halo 3,Shooter
Halo 3,Shooter
Halo 3,First-Person
Halo 3,Sci-Fi
Halo 3,Sci-Fi
Halo 3,Arcade
Ninja Gaiden Black,Action Adventure
Ninja Gaiden Black,Fantasy
The Elder Scrolls IV: Oblivion,Role-Playing
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,Western-Style
Street Fighter IV,Action
Street Fighter IV,Fighting
Street Fighter IV,Fighting
Street Fighter IV,3D
Street Fighter IV,2D
Street Fighter IV,3D
Super Mario Advance 4: Super Mario Bros. 3,Action
Super Mario Advance 4: Super Mario Bros. 3,Platformer
Super Mario Advance 4: Super Mario Bros. 3,2D
Jet Grind Radio,Action
Jet Grind Radio,Platformer
Jet Grind Radio,3D
Metal Gear Solid,Action Adventure
Metal Gear Solid,Modern
Grim Fandango,Adventure
Grim Fandango,General
Grim Fandango,General
Grim Fandango,3D
Grim Fandango,Third-Person
Grim Fandango,Fantasy
Tom Clancy's Splinter Cell Chaos Theory,Action Adventure
Tom Clancy's Splinter Cell Chaos Theory,Modern
Burnout 3: Takedown,Driving
Burnout 3: Takedown,Racing
Burnout 3: Takedown,Arcade
Diablo,Role-Playing
Diablo,Action RPG
Diablo,Action RPG
Metal Gear Solid 3: Subsistence,Action Adventure
Metal Gear Solid 3: Subsistence,Modern
Call of Duty: Modern Warfare 2,Action
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 2,First-Person
Call of Duty: Modern Warfare 2,Modern
Call of Duty: Modern Warfare 2,Modern
Call of Duty: Modern Warfare 2,Arcade
Metal Gear Solid 4: Guns of the Patriots,Action Adventure
Metal Gear Solid 4: Guns of the Patriots,Modern
Metal Gear Solid 4: Guns of the Patriots,General
Metal Gear Solid 4: Guns of the Patriots,Modern
NCAA Football 2004,Sports
NCAA Football 2004,Traditional
NCAA Football 2004,Football
NCAA Football 2004,Sim
God of War,Action Adventure
God of War,Fantasy
Star Wars: Knights of the Old Republic,Role-Playing
Star Wars: Knights of the Old Republic,Third-Person
Sid Meier's Civilization IV,Strategy
Sid Meier's Civilization IV,Turn-Based
Sid Meier's Civilization IV,Historic
Sid Meier's Civilization IV,Historic
Sid Meier's Civilization IV,4X
Madden NFL 2004,Sports
Madden NFL 2004,Traditional
Madden NFL 2004,Football
Madden NFL 2004,Sim
Virtua Fighter 4,Action
Virtua Fighter 4,Fighting
Virtua Fighter 4,3D
The Witcher 3: Wild Hunt,Action RPG
The Witcher 3: Wild Hunt,Role-Playing
The Witcher 3: Wild Hunt,Action RPG
Burnout 3: Takedown,Driving
Burnout 3: Takedown,Racing
Burnout 3: Takedown,Arcade
Super Smash Bros. Brawl,Action
Super Smash Bros. Brawl,Fighting
Super Smash Bros. Brawl,Fighting
Super Smash Bros. Brawl,3D
Super Smash Bros. Brawl,2D
Super Smash Bros. Brawl,3D
Company of Heroes,Strategy
Company of Heroes,Real-Time
Company of Heroes,Historic
Company of Heroes,General
Company of Heroes,Historic
Gran Turismo 2,Driving
Gran Turismo 2,Racing
Gran Turismo 2,GT / Street
The Last of Us Part II,General
The Last of Us Part II,Action Adventure
The Last of Us Part II,Survival
Tom Clancy's Splinter Cell Pandora Tomorrow,Action Adventure
Tom Clancy's Splinter Cell Pandora Tomorrow,Modern
Grand Theft Auto: Chinatown Wars,Action Adventure
Grand Theft Auto: Chinatown Wars,Modern
Grand Theft Auto: Chinatown Wars,Modern
Grand Theft Auto: Chinatown Wars,Open-World
Divinity: Original Sin II - Definitive Edition,Role-Playing
Divinity: Original Sin II - Definitive Edition,Western-Style
Pac-Man Championship Edition DX,Adventure
Pac-Man Championship Edition DX,General
Pac-Man Championship Edition DX,Action
Pac-Man Championship Edition DX,General
Pac-Man Championship Edition DX,General
Pac-Man Championship Edition DX,Arcade
Street Fighter Alpha 3,Action
Street Fighter Alpha 3,Fighting
Street Fighter Alpha 3,2D
Tony Hawk's Pro Skater 3,Sports
Tony Hawk's Pro Skater 3,Alternative
Tony Hawk's Pro Skater 3,Skateboarding
Hades,Action Adventure
Hades,General
Hades,Linear
Half-Life: Alyx,Action
Half-Life: Alyx,First-Person
Half-Life: Alyx,Shooter
Half-Life: Alyx,Arcade
Divinity: Original Sin II,Action RPG
Divinity: Original Sin II,Role-Playing
Divinity: Original Sin II,Western-Style
Unreal Tournament 2004,Action
Unreal Tournament 2004,Shooter
Unreal Tournament 2004,Shooter
Unreal Tournament 2004,First-Person
Unreal Tournament 2004,Sci-Fi
Unreal Tournament 2004,Sci-Fi
Unreal Tournament 2004,Arcade
BioShock Infinite,Action
BioShock Infinite,Shooter
BioShock Infinite,Shooter
BioShock Infinite,First-Person
BioShock Infinite,Sci-Fi
BioShock Infinite,Sci-Fi
BioShock Infinite,Arcade
Braid,Action
Braid,Platformer
Braid,Platformer
Braid,2D
Braid,2D
God of War II,Action Adventure
God of War II,Fantasy
Super Mario 3D World,Platformer
Super Mario 3D World,3D
Super Mario 3D World,Action
Super Mario 3D World,Platformer
Super Mario 3D World,3D
Ori and the Will of the Wisps,Action
Ori and the Will of the Wisps,Platformer
Ori and the Will of the Wisps,2D
Starcraft II: Wings of Liberty,Strategy
Starcraft II: Wings of Liberty,Real-Time
Starcraft II: Wings of Liberty,Sci-Fi
Starcraft II: Wings of Liberty,Command
SSX,Sports
SSX,Alternative
SSX,Snowboarding
Street Fighter IV,Action
Street Fighter IV,Fighting
Street Fighter IV,Fighting
Street Fighter IV,3D
Street Fighter IV,2D
Street Fighter IV,3D
Minecraft,Action Adventure
Minecraft,Adventure
Minecraft,3D
Minecraft,Sandbox
Minecraft,First-Person
Minecraft,Fantasy
Minecraft,Fantasy
Undertale,Role-Playing
Undertale,Japanese-Style
Persona 4 Golden,Role-Playing
Persona 4 Golden,Console-style RPG
Persona 4 Golden,Console-style RPG
Persona 4 Golden,Japanese-Style
Persona 5,Role-Playing
Persona 5,Japanese-Style
Red Dead Redemption 2,Action Adventure
Red Dead Redemption 2,Open-World
SSX 3,Sports
SSX 3,Alternative
SSX 3,Snowboarding
Tom Clancy's Splinter Cell,Action Adventure
Tom Clancy's Splinter Cell,Modern
Grand Theft Auto III,Action Adventure
Grand Theft Auto III,Modern
Grand Theft Auto III,Modern
Grand Theft Auto III,Open-World
Quake III Arena,Action
Quake III Arena,Shooter
Quake III Arena,First-Person
Quake III Arena,Sci-Fi
Homeworld,Strategy
Homeworld,Real-Time
Homeworld,Sci-Fi
Homeworld,Sci-Fi
Homeworld,General
Homeworld,Command
Okami,Action Adventure
Okami,Fantasy
The Elder Scrolls IV: Oblivion,Role-Playing
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,First-Person
The Elder Scrolls IV: Oblivion,Western-Style
Fallout 3,Role-Playing
Fallout 3,First-Person
Fallout 3,First-Person
Fallout 3,Western-Style
Gears of War 2,Action
Gears of War 2,Shooter
Gears of War 2,Shooter
Gears of War 2,Third-Person
Gears of War 2,Sci-Fi
Gears of War 2,Sci-Fi
Gears of War 2,Arcade
SoulCalibur II,Action
SoulCalibur II,Fighting
SoulCalibur II,3D
World Soccer Winning Eleven 6 International,Sports
World Soccer Winning Eleven 6 International,Traditional
World Soccer Winning Eleven 6 International,Soccer
World Soccer Winning Eleven 6 International,Sim
NFL 2K3,Sports
NFL 2K3,Traditional
NFL 2K3,Football
NFL 2K3,Sim
Mass Effect 3,Role-Playing
Mass Effect 3,Action RPG
Mass Effect 3,Action RPG
Metal Gear Solid V: The Phantom Pain,Modern
Metal Gear Solid V: The Phantom Pain,Action Adventure
Metal Gear Solid V: The Phantom Pain,Modern
Metal Gear Solid V: The Phantom Pain,Open-World
Skies of Arcadia,Role-Playing
Skies of Arcadia,Console-style RPG
The Legend of Zelda: Skyward Sword,Action Adventure
The Legend of Zelda: Skyward Sword,Fantasy
The Legend of Zelda: Skyward Sword,General
The Legend of Zelda: Skyward Sword,Fantasy
The Legend of Zelda: Skyward Sword,Open-World
Mario Kart Super Circuit,Driving
Mario Kart Super Circuit,Racing
Mario Kart Super Circuit,Kart
Rock Band 3,Action
Rock Band 3,Miscellaneous
Rock Band 3,Rhythm
Rock Band 3,Music
Rock Band 3,Music
Viewtiful Joe,Action
Viewtiful Joe,Beat-'Em-Up
Test Drive Le Mans,Driving
Test Drive Le Mans,Racing
Test Drive Le Mans,GT / Street
NBA 2K1,Sports
NBA 2K1,Traditional
NBA 2K1,Basketball
NBA 2K1,Sim
Castlevania: Symphony of the Night,Action
Castlevania: Symphony of the Night,Platformer
Castlevania: Symphony of the Night,2D
Star Wars: Knights of the Old Republic,Role-Playing
Star Wars: Knights of the Old Republic,Third-Person
Star Wars: Knights of the Old Republic,Third-Person
Star Wars: Knights of the Old Republic,General
Virtua Fighter 4: Evolution,Action
Virtua Fighter 4: Evolution,Fighting
Virtua Fighter 4: Evolution,3D
Uncharted 4: A Thief's End,General
Uncharted 4: A Thief's End,Modern
Uncharted 4: A Thief's End,Action Adventure
Uncharted 4: A Thief's End,Linear
Super Smash Bros. Ultimate,Action
Super Smash Bros. Ultimate,Fighting
Super Smash Bros. Ultimate,2D
Braid,Action
Braid,Platformer
Braid,Platformer
Braid,2D
Braid,2D
Mass Effect 3,Role-Playing
Mass Effect 3,Action RPG
Mass Effect 3,Action RPG
Paper Mario,Role-Playing
Paper Mario,Console-style RPG
Wipeout XL,Driving
Wipeout XL,Racing
Wipeout XL,Futuristic
Grand Theft Auto: San Andreas,Action Adventure
Grand Theft Auto: San Andreas,Modern
Resident Evil 2,Action Adventure
Resident Evil 2,Survival
INSIDE,Action
INSIDE,Platformer
INSIDE,2D
World of Warcraft,Role-Playing
World of Warcraft,Massively Multiplayer Online
World of Warcraft,Massively Multiplayer
World of Warcraft,Fantasy
World of Warcraft,Fantasy
Grand Theft Auto: San Andreas,Action Adventure
Grand Theft Auto: San Andreas,Modern
Grand Theft Auto: San Andreas,Modern
Grand Theft Auto: San Andreas,Open-World
Flipnote Studio,Miscellaneous
Flipnote Studio,General
Flipnote Studio,Application
World Soccer Winning Eleven 7 International,Sports
World Soccer Winning Eleven 7 International,Traditional
World Soccer Winning Eleven 7 International,Soccer
World Soccer Winning Eleven 7 International,Sim
NBA 2K2,Sports
NBA 2K2,Traditional
NBA 2K2,Basketball
NBA 2K2,Sim
SoulCalibur II,Action
SoulCalibur II,Fighting
SoulCalibur II,3D
The Elder Scrolls V: Skyrim,Role-Playing
The Elder Scrolls V: Skyrim,First-Person
The Elder Scrolls V: Skyrim,First-Person
The Elder Scrolls V: Skyrim,Western-Style
Hades,Action Adventure
Hades,General
Hades,Linear
Prince of Persia: The Sands of Time,Action Adventure
Prince of Persia: The Sands of Time,Fantasy
Call of Duty 4: Modern Warfare,Action
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,Shooter
Call of Duty 4: Modern Warfare,First-Person
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Modern
Call of Duty 4: Modern Warfare,Arcade
Forza Horizon 4,Racing
Forza Horizon 4,Simulation
Forza Horizon 4,Automobile
God of War III,Action Adventure
God of War III,Fantasy
God of War III,Fantasy
God of War III,Linear
Divinity: Original Sin II - Definitive Edition,Role-Playing
Divinity: Original Sin II - Definitive Edition,Western-Style
NFL 2K3,Sports
NFL 2K3,Traditional
NFL 2K3,Football
NFL 2K3,Sim
SSX Tricky,Sports
SSX Tricky,Alternative
SSX Tricky,Snowboarding
NHL 2002,Sports
NHL 2002,Traditional
NHL 2002,Ice Hockey
NHL 2002,Sim
Guitar Hero II,Action
Guitar Hero II,Miscellaneous
Guitar Hero II,Rhythm
Guitar Hero II,Music
Guitar Hero II,Music
Prince of Persia: The Sands of Time,Action Adventure
Prince of Persia: The Sands of Time,Fantasy
Uncharted 3: Drake's Deception,Action Adventure
Uncharted 3: Drake's Deception,Modern
Uncharted 3: Drake's Deception,Modern
Uncharted 3: Drake's Deception,Linear
Rock Band,Action
Rock Band,Miscellaneous
Rock Band,Rhythm
Rock Band,Music
Rock Band,Music
Journey,Action
Journey,Platformer
Journey,3D
Bloodborne,Fantasy
Bloodborne,Role-Playing
Bloodborne,Action Adventure
Bloodborne,General
Bloodborne,Action RPG
Eternal Darkness: Sanity's Requiem,Action Adventure
Eternal Darkness: Sanity's Requiem,Horror
Warcraft III: Reign of Chaos,Strategy
Warcraft III: Reign of Chaos,Real-Time
Warcraft III: Reign of Chaos,Fantasy
Warcraft III: Reign of Chaos,General
Warcraft III: Reign of Chaos,Fantasy
SSX 3,Sports
SSX 3,Alternative
SSX 3,Snowboarding
The Sims,Simulation
The Sims,Miscellaneous
The Sims,Virtual Life
The Sims,Virtual
The Sims,Virtual Life
Banjo-Kazooie,Action
Banjo-Kazooie,Platformer
Banjo-Kazooie,3D
Sid Meier's Gettysburg!,Strategy
Sid Meier's Gettysburg!,Real-Time
Sid Meier's Gettysburg!,Wargame
Sid Meier's Gettysburg!,Real-Time
Sid Meier's Gettysburg!,General
Celeste,Action
Celeste,Platformer
Celeste,2D
Rock Band 2,Action
Rock Band 2,Miscellaneous
Rock Band 2,Rhythm
Rock Band 2,Music
Rock Band 2,Music
Forza Motorsport,Driving
Forza Motorsport,Racing
Forza Motorsport,GT / Street
Madden NFL 2004,Sports
Madden NFL 2004,Traditional
Madden NFL 2004,Football
Madden NFL 2004,Sim
Super Street Fighter IV,Action
Super Street Fighter IV,Fighting
Super Street Fighter IV,Fighting
Super Street Fighter IV,3D
Super Street Fighter IV,2D
Super Street Fighter IV,3D
World Soccer Winning Eleven 7 International,Sports
World Soccer Winning Eleven 7 International,Traditional
World Soccer Winning Eleven 7 International,Team
World Soccer Winning Eleven 7 International,Soccer
World Soccer Winning Eleven 7 International,Sim
World Soccer Winning Eleven 7 International,Sim
Advance Wars,Strategy
Advance Wars,Turn-Based
Advance Wars,Modern
Vagrant Story,Role-Playing
Vagrant Story,Action RPG
What Remains of Edith Finch,Adventure
What Remains of Edith Finch,3D
What Remains of Edith Finch,First-Person
Team Fortress 2,Action
Team Fortress 2,Shooter
Team Fortress 2,Shooter
Team Fortress 2,First-Person
Team Fortress 2,Modern
Team Fortress 2,Tactical
Team Fortress 2,Modern
System Shock 2,Action Adventure
System Shock 2,Sci-Fi
System Shock 2,Sci-Fi
System Shock 2,Survival
Tom Clancy's Splinter Cell: Chaos Theory,Action Adventure
Tom Clancy's Splinter Cell: Chaos Theory,Modern
Tom Clancy's Splinter Cell: Chaos Theory,General
Tom Clancy's Splinter Cell: Chaos Theory,Modern
Final Fantasy XII,Role-Playing
Final Fantasy XII,Console-style RPG
Undertale,Role-Playing
Undertale,Japanese-Style
Madden NFL 2003,Sports
Madden NFL 2003,Traditional
Madden NFL 2003,Football
Madden NFL 2003,Sim
The Witcher 3: Wild Hunt,Action RPG
The Witcher 3: Wild Hunt,Role-Playing
The Witcher 3: Wild Hunt,Action RPG
Super Mario World: Super Mario Advance 2,Action
Super Mario World: Super Mario Advance 2,Platformer
Super Mario World: Super Mario Advance 2,2D
ESPN NFL 2K5,Sports
ESPN NFL 2K5,Traditional
ESPN NFL 2K5,Football
ESPN NFL 2K5,Sim
Super Smash Bros. Melee,Action
Super Smash Bros. Melee,Fighting
Super Smash Bros. Melee,3D
Madden NFL 2003,Sports
Madden NFL 2003,Traditional
Madden NFL 2003,Football
Madden NFL 2003,Sim
Virtua Tennis,Sports
Virtua Tennis,Traditional
Virtua Tennis,Tennis
Rome: Total War,Strategy
Rome: Total War,Real-Time
Rome: Total War,Historic
Rome: Total War,General
Rome: Total War,Historic
Forza Motorsport 3,Driving
Forza Motorsport 3,Racing
Forza Motorsport 3,Simulation
Forza Motorsport 3,GT / Street
Forza Motorsport 3,GT / Street
Forza Motorsport 3,Automobile
Okami HD,Action Adventure
Okami HD,General
Undertale,Role-Playing
Undertale,General
